firm_name,vol_2024H1,vol_2024H2,vol_2025H1,vol_2025H2,pct_change_2025H2_vs_2025H1,pct_change_yoy
Caf Bank Limited,,,,1060.0,,
Ubs Ag,,,,548.0,,
Leaseplan UK Limited,3.0,20.0,,23.0,,15.0
Acorn Insurance And Financial Services Limited,,,,766.0,,
Eversure Limited,,,,612.0,,
London & Country Mortgages Limited,,,,644.0,,
Marks And Spencer Financial Services PLC,,,,5264.0,,
Fce Bank PLC,94.0,146.0,,154.0,,5.48
Fil Life Insurance Limited,,,,517.0,,
Experian Limited,3.0,2.0,0.0,1.0,,-50.0
Extracover Limited,561.0,519.0,,1114.0,,114.64
Etoro (uk) Limited,,,,504.0,,
The Co-operative Bank P.l.c.,,,,9622.0,,
Octopus Money Unit Trust Managers Limited,,,,622.0,,
One Sure Insurance Limited,,,,770.0,,
Creation Consumer Finance Limited,,,,10537.0,,
Lexham Insurance Consultants Limited,,,,583.0,,
Quilter Investment Platform Limited,610.0,,,516.0,,
Animal Friends Insurance Services Limited,,,,3482.0,,
Ascent Performance Group Limited,,,,514.0,,
Carmoola Limited,,,,0.0,,
"Royal London Mutual Insurance Society, Limited (the)",,,,8414.0,,
