reporting_period,firm_name,total_complaints,period_order,complaint_share_pct,prev_period_val,abs_change,pct_change
2025H2,Quilter Investment Platform Limited,516.0,3,0.03,610.0,-94.0,-15.41
2024H1,Quilter Life & Pensions Limited,799.0,0,0.05,,,
2024H2,Quilter Life & Pensions Limited,633.0,1,0.04,799.0,-166.0,-20.78
2025H1,Quilter Life & Pensions Limited,709.0,2,0.04,633.0,76.0,12.01
2025H2,Quilter Life & Pensions Limited,1076.0,3,0.07,709.0,367.0,51.76
2024H1,RBS Collective Investment Funds Limited,1430.0,0,0.08,,,
2024H2,RBS Collective Investment Funds Limited,1465.0,1,0.09,1430.0,35.0,2.45
2025H1,RBS Collective Investment Funds Limited,2028.0,2,0.12,1465.0,563.0,38.43
2025H2,RBS Collective Investment Funds Limited,1342.0,3,0.08,2028.0,-686.0,-33.83
2025H1,Rac Financial Services Limited,8793.0,2,0.51,,,
2025H2,Rac Financial Services Limited,9491.0,3,0.57,8793.0,698.0,7.94
2024H1,Rac Motoring Services,9218.0,0,0.52,,,
2024H2,Rac Motoring Services,9193.0,1,0.54,9218.0,-25.0,-0.27
2024H1,Reassure Life Limited,979.0,0,0.06,,,
2024H2,Reassure Life Limited,758.0,1,0.04,979.0,-221.0,-22.57
2025H1,Reassure Life Limited,669.0,2,0.04,758.0,-89.0,-11.74
2025H2,Reassure Life Limited,663.0,3,0.04,669.0,-6.0,-0.9
2024H1,Reassure Limited,5006.0,0,0.28,,,
2024H2,Reassure Limited,4807.0,1,0.28,5006.0,-199.0,-3.98
2025H1,Reassure Limited,4747.0,2,0.27,4807.0,-60.0,-1.25
2025H2,Reassure Limited,4463.0,3,0.27,4747.0,-284.0,-5.98
2024H1,Reassured LTD,607.0,0,0.03,,,
2024H2,Reassured LTD,579.0,1,0.03,607.0,-28.0,-4.61
2025H1,Reassured LTD,556.0,2,0.03,579.0,-23.0,-3.97
2025H2,Reassured Limited,604.0,3,0.04,,,
2024H1,Rock Insurance Services Limited,818.0,0,0.05,,,
2024H2,Rothesay Life PLC,676.0,1,0.04,,,
2025H1,Rothesay Life PLC,725.0,2,0.04,676.0,49.0,7.25
2025H2,Rothesay Life PLC,553.0,3,0.03,725.0,-172.0,-23.72
2024H1,Royal & Sun Alliance Insurance Limited,15116.0,0,0.85,,,
2024H2,Royal & Sun Alliance Insurance Limited,11992.0,1,0.71,15116.0,-3124.0,-20.67
2025H2,"Royal London Mutual Insurance Society, Limited (the)",8414.0,3,0.51,,,
2024H1,Sabre Insurance Company Limited,681.0,0,0.04,,,
2024H2,Sabre Insurance Company Limited,675.0,1,0.04,681.0,-6.0,-0.88
2025H1,Sabre Insurance Company Limited,590.0,2,0.03,675.0,-85.0,-12.59
2025H2,Sabre Insurance Company Limited,644.0,3,0.04,590.0,54.0,9.15
2024H1,Saga Services Limited,16349.0,0,0.92,,,
2024H2,Saga Services Limited,15359.0,1,0.91,16349.0,-990.0,-6.06
2025H1,Saga Services Limited,8353.0,2,0.48,15359.0,-7006.0,-45.61
2025H2,Saga Services Limited,7519.0,3,0.46,8353.0,-834.0,-9.98
2024H1,Sainsbury's Bank PLC,4384.0,0,0.25,,,
2024H2,Sainsbury's Bank PLC,4013.0,1,0.24,4384.0,-371.0,-8.46
