reporting_period,firm_name,product_group,complaints_opened,denominator,complaint_rate_per_1k,denominator_unit
2024H2,Hbos Investment Fund Managers Limited,Investments,710.0,2.31,307.3593,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Highway Insurance Company Limited,Insurance & pure protection,505.0,0.66,765.1515,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Hiscox Insurance Company Limited,Insurance & pure protection,510.0,0.93,548.3871,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Home Retail Group Card Services Limited,Banking and credit cards,3944.0,1.31,3010.687,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Hood Travel Limited,Insurance & pure protection,681.0,1.06,642.4528,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,I Go 4 Ltd.,Insurance & pure protection,890.0,2.66,334.5865,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Ikano Bank Ab (publ),Banking and credit cards,1357.0,4.18,324.6411,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Insurance Factory LTD,Insurance & pure protection,4565.0,10.68,427.4345,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Interactive Brokers (u.k.) Limited,Investments,617.0,1.63,378.5276,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Interactive Investor Services Limited,Decumulation & pensions,479.0,5.64,84.9291,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Interactive Investor Services Limited,Investments,1614.0,1.93,836.2694,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Invesco Fund Managers Limited,Investments,544.0,2.94,185.034,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,J.p. Morgan Europe Limited,Banking and credit cards,12193.0,1.67,7301.1976,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,James Hay Administration Company LTD,Decumulation & pensions,1179.0,23.13,50.9728,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Kensington Mortgage Company Limited,Home finance,992.0,15.39,64.4574,thousands of relevant accounts/policies (FCA Context - Provision)
2024H2,Kroo Bank LTD,Banking and credit cards,1246.0,6.6,188.7879,thousands of relevant accounts/policies (FCA Context - Provision)
