reporting_period,firm_name,total_complaints,period_order,complaint_share_pct
2024H1,Metlife Europe D.a.c.,501.0,0,0.03
2024H1,Metro Bank PLC,9246.0,0,0.52
2024H1,Monzo Bank LTD,42089.0,0,2.37
2024H1,Moorcroft Debt Recovery Limited,551.0,0,0.03
2024H1,Motonovo Finance Limited,41.0,0,0.0
2024H1,Munich Re Digital Partners LTD,1000.0,0,0.06
2024H1,National Westminster Bank PLC,87800.0,0,4.95
2024H1,Nationwide Building Society,61778.0,0,3.48
2024H1,Newcastle Building Society,543.0,0,0.03
2024H1,Northern Bank Limited,1687.0,0,0.1
2024H1,Nutmeg Saving And Investment Limited,659.0,0,0.04
2024H1,One Call Insurance Services Limited,3202.0,0,0.18
2024H1,Onesavings Bank PLC,2397.0,0,0.14
2024H1,Paragon Bank PLC,1039.0,0,0.06
2024H1,Pendragon Finance And Insurance Services Limited,34.0,0,0.0
2024H1,People's Administration Services Limited,4246.0,0,0.24
2024H1,Pepper (uk) Limited,763.0,0,0.04
2024H1,Phoenix Life Limited,13974.0,0,0.79
2024H1,Pinnacle Insurance PLC,2528.0,0,0.14
2024H1,Prestige Underwriting Services LTD,507.0,0,0.03
2024H1,Principality Building Society,1237.0,0,0.07
2024H1,Qbe UK Limited,944.0,0,0.05
2024H1,Qmetric Group Limited,3280.0,0,0.18
2024H1,Quilter Investment Platform Limited,610.0,0,0.03
2024H1,Quilter Life & Pensions Limited,799.0,0,0.05
2024H1,RBS Collective Investment Funds Limited,1430.0,0,0.08
2024H1,Rac Motoring Services,9218.0,0,0.52
2024H1,Reassure Life Limited,979.0,0,0.06
2024H1,Reassure Limited,5006.0,0,0.28
2024H1,Reassured LTD,607.0,0,0.03
2024H1,Rock Insurance Services Limited,818.0,0,0.05
2024H1,Royal & Sun Alliance Insurance Limited,15116.0,0,0.85
2024H1,Sabre Insurance Company Limited,681.0,0,0.04
2024H1,Saga Services Limited,16349.0,0,0.92
2024H1,Sainsbury's Bank PLC,4384.0,0,0.25
2024H1,Santander Consumer (uk) PLC,1.0,0,0.0
2024H1,Santander UK PLC,67816.0,0,3.82
2024H1,Scottish Equitable PLC,4899.0,0,0.28
2024H1,Scottish Friendly Assurance Society Limited,1366.0,0,0.08
2024H1,Scottish Widows Administration Services Limited,538.0,0,0.03
2024H1,Scottish Widows Limited,12734.0,0,0.72
2024H1,Scottish Widows Unit Trust Managers Limited,631.0,0,0.04
2024H1,Secure Trust Bank PLC,323.0,0,0.02
2024H1,Shawbrook Bank Limited,1767.0,0,0.1
2024H1,Shop Direct Finance Company Limited,418.0,0,0.02
2024H1,Simplyhealth Access,1997.0,0,0.11
2024H1,Skipton Building Society,3679.0,0,0.21
2024H1,Society Of Lloyd's,5309.0,0,0.3
2024H1,Somerset Bridge Insurance Services Limited,519.0,0,0.03
2024H1,St James's Place Investment Administration Limited,508.0,0,0.03
2024H1,St James's Place UK PLC,1346.0,0,0.08
2024H1,St. James's Place Wealth Management PLC,15375.0,0,0.87
2024H1,Standard Life Savings Limited,665.0,0,0.04
2024H1,Starling Bank Limited,20482.0,0,1.15
2024H1,Starr International (europe) Limited,1681.0,0,0.09
2024H1,Suffolk Life Pensions Limited,536.0,0,0.03
2024H1,Sun Life Assurance Company Of Canada (u.k.) Limited,1177.0,0,0.07
2024H1,Swift 1st Limited,912.0,0,0.05
2024H1,TSB Bank PLC,25734.0,0,1.45
2024H1,Telefonica Seguros Y Reaseguros Compania Aseguradora S.a.u.,3102.0,0,0.17
2024H1,Telefonica UK Limited,29.0,0,0.0
2024H1,Tesco Personal Finance PLC,17949.0,0,1.01
2024H1,Tesco Underwriting Limited,2740.0,0,0.15
2024H1,The Co-operative Bank PLC,16152.0,0,0.91
2024H1,The Mortgage Works (uk) PLC,1534.0,0,0.09
2024H1,The National Farmers' Union Mutual Insurance Society Limited,6774.0,0,0.38
2024H1,The Prudential Assurance Company Limited,10167.0,0,0.57
