firm_name,reporting_period,complaints_opened,uphold_rate_weighted_pct,uphold_rank
Ikano Bank Ab (publ),2025H2,879.0,42.87,145
Connells Limited,2025H2,608.0,42.56,146
First Central Insurance Management Limited,2025H2,8797.0,42.36,147
Pepper (uk) Limited,2025H2,723.0,42.34,148
Complete Cover Group LTD,2025H2,560.0,41.92,149
Quilter Financial Services Limited,2025H2,580.0,41.89,150
Zopa Bank Limited,2025H2,6391.0,41.87,151
Reassured Limited,2025H2,604.0,41.78,152
Automobile Association Insurance Services Limited,2025H2,6657.0,41.72,153
Creation Consumer Finance Limited,2025H2,10537.0,41.12,154
Starling Bank Limited,2025H2,17323.0,40.99,155
Family Equity Plan Limited,2025H2,908.0,40.93,156
Qbe UK Limited,2025H2,910.0,40.61,157
Insurance Factory Limited,2025H2,1266.0,40.25,158
Society Of Lloyd's,2025H2,5669.0,39.78,159
Bank Of Ireland (uk) PLC,2025H2,2615.0,39.61,160
Xbridge Limited,2025H2,1240.0,39.58,161
Avantia Insurance Limited,2025H2,1100.0,38.93,162
Casualty & General Insurance Company (europe) LTD,2025H2,1027.0,38.59,163
Forester Life Limited,2025H2,544.0,38.08,164
Pinnacle Insurance Limited,2025H2,3405.0,38.07,165
Call Assist Limited,2025H2,724.0,37.84,166
Accredited Insurance (europe) LTD,2025H2,4337.0,37.64,167
Tesco Personal Finance Limited,2025H2,4861.0,37.52,168
Topaz Finance Limited,2025H2,3173.0,37.41,169
Somerset Bridge Insurance Services Limited,2025H2,1472.0,36.89,170
Qmetric Group Limited,2025H2,3696.0,36.8,171
Northern Bank Limited,2025H2,1446.0,36.42,172
Awp P&c S.a.,2025H2,2042.0,35.85,173
Equiniti Financial Services Limited,2025H2,2875.0,35.36,174
Home Retail Group Card Services Limited,2025H2,3824.0,34.85,175
Carfinance247 Limited,2025H2,199.0,34.62,176
Secure Trust Bank Public Limited Company,2025H2,315.0,34.48,177
Capital One (europe) PLC,2025H2,30593.0,34.28,178
Sabre Insurance Company Limited,2025H2,644.0,34.23,179
American Express Services Europe Limited,2025H2,14814.0,33.09,180
Lexham Insurance Consultants Limited,2025H2,583.0,32.89,181
Utility Warehouse Limited,2025H2,2188.0,31.55,182
Shop Direct Finance Company Limited,2025H2,87.0,31.0,183
Ascent Performance Group Limited,2025H2,514.0,30.2,184
Monzo Bank LTD,2025H2,49570.0,30.03,185
Vanquis Bank Limited,2025H2,18304.0,29.94,186
Kensington Mortgage Company Limited,2025H2,1029.0,29.32,187
Kroo Bank LTD,2025H2,820.0,29.27,188
Simplyhealth Access,2025H2,2101.0,29.11,189
One Sure Insurance Limited,2025H2,770.0,29.02,190
Extracover Limited,2025H2,1114.0,28.89,191
Aviva Health UK Limited,2025H2,1236.0,27.04,192
Evolution Insurance Company Limited,2025H2,582.0,26.6,193
Rac Financial Services Limited,2025H2,9491.0,26.43,194
Homeserve Membership Limited,2025H2,2358.0,25.72,195
Rothesay Life PLC,2025H2,553.0,24.96,196
RBS Collective Investment Funds Limited,2025H2,1342.0,23.99,197
