firm_name,product_group,complaints_opened,pct_of_firm_total
Barclays Bank PLC,Decumulation & pensions,66.0,0.63
Barclays Bank PLC,Insurance & pure protection,1.0,0.01
Barclays Bank PLC,Home finance,1.0,0.01
Barclays Bank UK PLC,Banking and credit cards,80470.0,93.57
Barclays Bank UK PLC,Home finance,5356.0,6.23
Barclays Bank UK PLC,Insurance & pure protection,148.0,0.17
Barclays Bank UK PLC,Investments,21.0,0.02
Barclays Bank UK PLC,Decumulation & pensions,1.0,0.0
Bisl Limited,Insurance & pure protection,11577.0,100.0
British Gas Services Limited,Insurance & pure protection,49016.0,100.0
Bupa Insurance Services Limited,Insurance & pure protection,28091.0,100.0
Caf Bank Limited,Banking and credit cards,1060.0,100.0
Capital One (europe) PLC,Banking and credit cards,30573.0,99.93
Capital One (europe) PLC,Insurance & pure protection,20.0,0.07
Carole Nash Insurance Consultants Limited,Insurance & pure protection,2650.0,100.0
Casualty & General Insurance Company (europe) LTD,Insurance & pure protection,1027.0,100.0
Charter Court Financial Services Limited,Home finance,1081.0,58.94
Charter Court Financial Services Limited,Banking and credit cards,753.0,41.06
Chubb European Group Se,Insurance & pure protection,4417.0,100.0
Clearbank Limited,Banking and credit cards,3339.0,100.0
Clydesdale Bank PLC,Banking and credit cards,31993.0,93.59
Clydesdale Bank PLC,Home finance,2174.0,6.36
Clydesdale Bank PLC,Insurance & pure protection,15.0,0.04
Clydesdale Bank PLC,Investments,3.0,0.01
Clydesdale Bank PLC,Decumulation & pensions,0.0,0.0
Coutts & Company,Banking and credit cards,1603.0,86.88
Coutts & Company,Home finance,107.0,5.8
Coutts & Company,Investments,99.0,5.37
Coutts & Company,Decumulation & pensions,23.0,1.25
Coutts & Company,Insurance & pure protection,13.0,0.7
Covea Insurance PLC,Insurance & pure protection,2497.0,100.0
Coventry Building Society,Banking and credit cards,3403.0,82.1
Coventry Building Society,Home finance,740.0,17.85
Coventry Building Society,Insurance & pure protection,1.0,0.02
Coventry Building Society,Investments,1.0,0.02
Creation Consumer Finance Limited,Banking and credit cards,10537.0,100.0
Domestic & General Insurance PLC,Insurance & pure protection,56025.0,100.0
Ebs Pensions Limited,Decumulation & pensions,1176.0,100.0
Ebs Pensions Limited,Investments,0.0,0.0
Ebs Pensions Limited,Insurance & pure protection,0.0,0.0
Ebs Pensions Limited,Home finance,0.0,0.0
Ebs Pensions Limited,Banking and credit cards,0.0,0.0
Equiniti Financial Services Limited,Investments,2864.0,99.62
Equiniti Financial Services Limited,Decumulation & pensions,11.0,0.38
Ergo Travel Insurance Services LTD,Insurance & pure protection,4524.0,100.0
Esure Insurance Limited,Insurance & pure protection,11352.0,100.0
Eui Limited,Insurance & pure protection,60221.0,100.0
Exeter Friendly Society Limited,Insurance & pure protection,1050.0,100.0
Extracover Limited,Insurance & pure protection,1114.0,100.0
Financial Administration Services Limited,Investments,1308.0,64.5
Financial Administration Services Limited,Decumulation & pensions,720.0,35.5
First Central Insurance Management Limited,Insurance & pure protection,8797.0,100.0
Fortegra Europe Insurance Company LTD,Insurance & pure protection,3792.0,100.0
HSBC UK Bank PLC,Banking and credit cards,75064.0,92.1
HSBC UK Bank PLC,Home finance,5047.0,6.19
HSBC UK Bank PLC,Investments,909.0,1.12
HSBC UK Bank PLC,Insurance & pure protection,417.0,0.51
HSBC UK Bank PLC,Decumulation & pensions,66.0,0.08
Hargreaves Lansdown Asset Management Limited,Investments,4759.0,67.78
Hargreaves Lansdown Asset Management Limited,Decumulation & pensions,2262.0,32.22
Hastings Insurance Services Limited,Insurance & pure protection,19781.0,100.0
Home Retail Group Card Services Limited,Banking and credit cards,3824.0,100.0
Homeserve Membership Limited,Insurance & pure protection,2358.0,100.0
Howserv Limited,Insurance & pure protection,3281.0,100.0
Insurance Factory Limited,Insurance & pure protection,1266.0,100.0
Intact Insurance UK Limited,Insurance & pure protection,5765.0,100.0
Inter Partner Assistance Sa,Insurance & pure protection,8125.0,100.0
Interactive Brokers (u.k.) Limited,Investments,1116.0,100.0
Interactive Investor Services Limited,Investments,2491.0,90.38
Interactive Investor Services Limited,Decumulation & pensions,265.0,9.62
J.p. Morgan Europe Limited,Banking and credit cards,8343.0,100.0
J.p. Morgan Personal Investing Limited,Investments,848.0,75.31
J.p. Morgan Personal Investing Limited,Decumulation & pensions,278.0,24.69
Kensington Mortgage Company Limited,Home finance,1029.0,100.0
Leeds Building Society,Banking and credit cards,1735.0,65.6
Leeds Building Society,Home finance,910.0,34.4
Legal And General Assurance Society Limited,Insurance & pure protection,2895.0,65.59
Legal And General Assurance Society Limited,Decumulation & pensions,1519.0,34.41
Liverpool Victoria Financial Services Limited,Insurance & pure protection,1248.0,68.27
Liverpool Victoria Financial Services Limited,Decumulation & pensions,421.0,23.03
Liverpool Victoria Financial Services Limited,Investments,159.0,8.7
Liverpool Victoria Insurance Company Limited,Insurance & pure protection,12025.0,100.0
Lloyds Bank General Insurance Limited,Insurance & pure protection,5683.0,100.0
Lloyds Bank General Insurance Limited,Banking and credit cards,0.0,0.0
Lloyds Bank General Insurance Limited,Decumulation & pensions,0.0,0.0
Lloyds Bank General Insurance Limited,Home finance,0.0,0.0
Lloyds Bank General Insurance Limited,Investments,0.0,0.0
Lloyds Bank PLC,Banking and credit cards,87894.0,96.76
Lloyds Bank PLC,Home finance,2575.0,2.83
Lloyds Bank PLC,Insurance & pure protection,293.0,0.32
Lloyds Bank PLC,Decumulation & pensions,50.0,0.06
Lloyds Bank PLC,Investments,25.0,0.03
MBNA Limited,Banking and credit cards,8774.0,99.75
MBNA Limited,Insurance & pure protection,22.0,0.25
MBNA Limited,Decumulation & pensions,0.0,0.0
MBNA Limited,Home finance,0.0,0.0
MBNA Limited,Investments,0.0,0.0
Manypets LTD,Insurance & pure protection,3134.0,100.0
Marks And Spencer Financial Services PLC,Banking and credit cards,5169.0,98.2
Marks And Spencer Financial Services PLC,Insurance & pure protection,95.0,1.8
Marks And Spencer Financial Services PLC,Investments,0.0,0.0
Marks And Spencer Financial Services PLC,Home finance,0.0,0.0
Marks And Spencer Financial Services PLC,Decumulation & pensions,0.0,0.0
Marshmallow Financial Services LTD,Insurance & pure protection,4208.0,100.0
Metlife Europe D.a.c.,Insurance & pure protection,1126.0,100.0
Metro Bank PLC,Banking and credit cards,11111.0,98.82
Metro Bank PLC,Home finance,133.0,1.18
Monzo Bank LTD,Banking and credit cards,49247.0,99.35
Monzo Bank LTD,Investments,251.0,0.51
Monzo Bank LTD,Decumulation & pensions,46.0,0.09
Monzo Bank LTD,Insurance & pure protection,26.0,0.05
Munich Re Digital Partners Limited,Insurance & pure protection,5012.0,100.0
National Westminster Bank Public Limited Company,Banking and credit cards,90819.0,93.14
National Westminster Bank Public Limited Company,Home finance,6123.0,6.28
National Westminster Bank Public Limited Company,Investments,451.0,0.46
National Westminster Bank Public Limited Company,Insurance & pure protection,77.0,0.08
National Westminster Bank Public Limited Company,Decumulation & pensions,41.0,0.04
Nationwide Building Society,Banking and credit cards,63947.0,92.16
Nationwide Building Society,Home finance,5263.0,7.58
Nationwide Building Society,Insurance & pure protection,132.0,0.19
Nationwide Building Society,Investments,44.0,0.06
Nationwide Building Society,Decumulation & pensions,2.0,0.0
Northern Bank Limited,Banking and credit cards,1361.0,94.12
Northern Bank Limited,Home finance,85.0,5.88
Northern Bank Limited,Investments,0.0,0.0
Northern Bank Limited,Insurance & pure protection,0.0,0.0
Northern Bank Limited,Decumulation & pensions,0.0,0.0
One Call Insurance Services Limited,Insurance & pure protection,2980.0,100.0
Onesavings Bank PLC,Banking and credit cards,1331.0,58.07
Onesavings Bank PLC,Home finance,961.0,41.93
Ovo Home Services LTD,Insurance & pure protection,1953.0,100.0
Paragon Bank PLC,Banking and credit cards,772.0,76.97
Paragon Bank PLC,Home finance,230.0,22.93
Paragon Bank PLC,Insurance & pure protection,1.0,0.1
People's Administration Services Limited,Decumulation & pensions,2731.0,100.0
Phoenix Life Limited,Decumulation & pensions,12980.0,75.97
Phoenix Life Limited,Insurance & pure protection,3303.0,19.33
Phoenix Life Limited,Investments,796.0,4.66
Phoenix Life Limited,Home finance,7.0,0.04
Pinnacle Insurance Limited,Insurance & pure protection,3405.0,100.0
Principality Building Society,Banking and credit cards,673.0,63.55
Principality Building Society,Home finance,384.0,36.26
Principality Building Society,Insurance & pure protection,2.0,0.19
Principality Building Society,Investments,0.0,0.0
Qmetric Group Limited,Insurance & pure protection,3696.0,100.0
Quilter Life & Pensions Limited,Decumulation & pensions,853.0,79.28
Quilter Life & Pensions Limited,Investments,223.0,20.72
RBS Collective Investment Funds Limited,Investments,1342.0,100.0
Rac Financial Services Limited,Insurance & pure protection,9491.0,100.0
Reassure Limited,Decumulation & pensions,3410.0,76.41
Reassure Limited,Insurance & pure protection,557.0,12.48
Reassure Limited,Investments,496.0,11.11
Reassure Limited,Home finance,0.0,0.0
"Royal London Mutual Insurance Society, Limited (the)",Decumulation & pensions,5817.0,69.13
"Royal London Mutual Insurance Society, Limited (the)",Insurance & pure protection,2362.0,28.07
"Royal London Mutual Insurance Society, Limited (the)",Investments,235.0,2.79
Saga Services Limited,Insurance & pure protection,7519.0,100.0
Sainsbury's Bank PLC,Banking and credit cards,1108.0,69.16
Sainsbury's Bank PLC,Insurance & pure protection,494.0,30.84
Santander UK PLC,Banking and credit cards,60432.0,93.34
Santander UK PLC,Home finance,4106.0,6.34
Santander UK PLC,Insurance & pure protection,95.0,0.15
Santander UK PLC,Investments,92.0,0.14
Santander UK PLC,Decumulation & pensions,16.0,0.02
Scottish Equitable PLC,Decumulation & pensions,5241.0,96.7
Scottish Equitable PLC,Investments,168.0,3.1
Scottish Equitable PLC,Insurance & pure protection,11.0,0.2
Scottish Equitable PLC,Banking and credit cards,0.0,0.0
Scottish Equitable PLC,Home finance,0.0,0.0
Scottish Widows Limited,Decumulation & pensions,5592.0,72.04
Scottish Widows Limited,Investments,1163.0,14.98
Scottish Widows Limited,Insurance & pure protection,1007.0,12.97
Scottish Widows Limited,Home finance,0.0,0.0
Scottish Widows Limited,Banking and credit cards,0.0,0.0
Shawbrook Bank Limited,Banking and credit cards,882.0,68.91
Shawbrook Bank Limited,Home finance,398.0,31.09
Simplyhealth Access,Insurance & pure protection,2101.0,100.0
Skipton Building Society,Banking and credit cards,3820.0,82.31
Skipton Building Society,Home finance,704.0,15.17
Skipton Building Society,Investments,66.0,1.42
Skipton Building Society,Decumulation & pensions,51.0,1.1
Society Of Lloyd's,Insurance & pure protection,5669.0,100.0
Somerset Bridge Insurance Services Limited,Insurance & pure protection,1472.0,100.0
St. James's Place Wealth Management PLC,Decumulation & pensions,2020.0,54.23
St. James's Place Wealth Management PLC,Investments,1597.0,42.87
St. James's Place Wealth Management PLC,Insurance & pure protection,95.0,2.55
St. James's Place Wealth Management PLC,Home finance,13.0,0.35
St. James's Place Wealth Management PLC,Banking and credit cards,0.0,0.0
Starling Bank Limited,Banking and credit cards,17323.0,100.0
Starr International (europe) Limited,Insurance & pure protection,1075.0,100.0
TSB Bank PLC,Banking and credit cards,32154.0,95.4
TSB Bank PLC,Home finance,1523.0,4.52
TSB Bank PLC,Insurance & pure protection,28.0,0.08
Telefonica Seguros Y Reaseguros Compania Aseguradora S.a.u.,Insurance & pure protection,2771.0,100.0
Tesco Personal Finance Limited,Insurance & pure protection,4861.0,100.0
Tesco Underwriting Limited,Insurance & pure protection,2672.0,100.0
The Co-operative Bank P.l.c.,Banking and credit cards,8554.0,88.9
The Co-operative Bank P.l.c.,Home finance,1067.0,11.09
The Co-operative Bank P.l.c.,Insurance & pure protection,1.0,0.01
The Co-operative Bank P.l.c.,Investments,0.0,0.0
The Co-operative Bank P.l.c.,Decumulation & pensions,0.0,0.0
The Mortgage Works (uk) PLC,Home finance,1481.0,100.0
The National Farmers' Union Mutual Insurance Society Limited,Insurance & pure protection,4939.0,97.3
The National Farmers' Union Mutual Insurance Society Limited,Decumulation & pensions,74.0,1.46
The National Farmers' Union Mutual Insurance Society Limited,Investments,63.0,1.24
The Prudential Assurance Company Limited,Decumulation & pensions,6508.0,65.79
The Prudential Assurance Company Limited,Investments,2600.0,26.28
The Prudential Assurance Company Limited,Insurance & pure protection,750.0,7.58
The Prudential Assurance Company Limited,Home finance,34.0,0.34
The Royal Bank Of Scotland PLC,Banking and credit cards,18544.0,93.26
The Royal Bank Of Scotland PLC,Home finance,1206.0,6.07
The Royal Bank Of Scotland PLC,Investments,102.0,0.51
The Royal Bank Of Scotland PLC,Insurance & pure protection,26.0,0.13
The Royal Bank Of Scotland PLC,Decumulation & pensions,6.0,0.03
Topaz Finance Limited,Home finance,3173.0,100.0
Tradex Insurance Company PLC,Insurance & pure protection,3950.0,100.0
Trading 212 UK Limited,Investments,1691.0,76.72
Trading 212 UK Limited,Banking and credit cards,513.0,23.28
True Potential Wealth Management LLP,Decumulation & pensions,917.0,88.0
True Potential Wealth Management LLP,Investments,121.0,11.61
True Potential Wealth Management LLP,Insurance & pure protection,3.0,0.29
True Potential Wealth Management LLP,Home finance,1.0,0.1
U K Insurance Limited,Insurance & pure protection,37282.0,100.0
U.s. Bank Europe Dac,Banking and credit cards,1747.0,100.0
Utility Warehouse Limited,Insurance & pure protection,2188.0,100.0
"Vanguard Asset Management, Ltd.",Investments,1075.0,65.39
"Vanguard Asset Management, Ltd.",Decumulation & pensions,569.0,34.61
Vanquis Bank Limited,Banking and credit cards,18304.0,100.0
Vitality Corporate Services Limited,Insurance & pure protection,10197.0,100.0
Xbridge Limited,Insurance & pure protection,1240.0,100.0
Yorkshire Building Society,Banking and credit cards,1832.0,77.17
Yorkshire Building Society,Home finance,532.0,22.41
Yorkshire Building Society,Insurance & pure protection,9.0,0.38
Yorkshire Building Society,Investments,1.0,0.04
Zempler Bank Limited,Banking and credit cards,1519.0,100.0
Zopa Bank Limited,Banking and credit cards,6387.0,99.94
Zopa Bank Limited,Investments,4.0,0.06
Zurich Assurance LTD,Insurance & pure protection,1851.0,63.92
Zurich Assurance LTD,Decumulation & pensions,764.0,26.38
Zurich Assurance LTD,Investments,278.0,9.6
Zurich Assurance LTD,Home finance,3.0,0.1
Zurich Assurance LTD,Banking and credit cards,0.0,0.0
Zurich Insurance Company LTD,Insurance & pure protection,3407.0,100.0
