firm_name,total_complaints_all_periods,complaints_2025H2,complaints_2025H1,complaints_2024H2,complaints_2024H1
Scottish Widows Unit Trust Managers Limited,1728.0,0.0,536.0,561.0,631.0
James Hay Administration Company Limited,1714.0,764.0,950.0,0.0,0.0
Hiscox Insurance Company Limited,1650.0,0.0,510.0,510.0,630.0
St. James's Place UK PLC,1607.0,840.0,767.0,0.0,0.0
Moorcroft Debt Recovery Limited,1597.0,0.0,468.0,578.0,551.0
Creation Financial Services Limited,1591.0,0.0,404.0,520.0,667.0
Call Assist LTD,1496.0,0.0,0.0,644.0,852.0
Call Assist Limited,1435.0,724.0,711.0,0.0,0.0
Triodos Bank UK Limited,1318.0,0.0,0.0,631.0,687.0
Millennium Insurance Company Limited,1301.0,542.0,759.0,0.0,0.0
Shop Direct Finance Company Limited,1266.0,87.0,394.0,367.0,418.0
West Bay Insurance PLC,1258.0,507.0,751.0,0.0,0.0
Embark Services Limited,1245.0,730.0,515.0,0.0,0.0
Family Assurance Friendly Society Limited,1222.0,0.0,693.0,529.0,0.0
Close Brothers Limited,1208.0,382.0,163.0,315.0,348.0
Invesco Fund Managers Limited,1194.0,0.0,0.0,544.0,650.0
Sun Life Assurance Company Of Canada (u.k.) Limited,1177.0,0.0,0.0,0.0,1177.0
Ebs Pensions Limited,1176.0,1176.0,0.0,0.0,0.0
Vodafone Limited,1144.0,252.0,225.0,290.0,377.0
J.p. Morgan Personal Investing Limited,1126.0,1126.0,0.0,0.0,0.0
Quilter Investment Platform Limited,1126.0,516.0,0.0,0.0,610.0
Suffolk Life Pensions Limited,1125.0,0.0,0.0,589.0,536.0
Evolution Insurance Company Limited,1122.0,582.0,540.0,0.0,0.0
Legal & General (portfolio Management Services) LTD,1093.0,0.0,0.0,522.0,571.0
Caf Bank Limited,1060.0,1060.0,0.0,0.0,0.0
True Potential Wealth Management LLP,1042.0,1042.0,0.0,0.0,0.0
Munich Re Digital Partners LTD,1000.0,0.0,0.0,0.0,1000.0
Telefonica UK Limited,882.0,314.0,416.0,123.0,29.0
Rock Insurance Services Limited,818.0,0.0,0.0,0.0,818.0
Abrdn Fund Managers Limited,800.0,0.0,800.0,0.0,0.0
One Sure Insurance Limited,770.0,770.0,0.0,0.0,0.0
Acorn Insurance And Financial Services Limited,766.0,766.0,0.0,0.0,0.0
Brightside Insurance Services Limited,723.0,0.0,0.0,0.0,723.0
Secure Trust Bank Public Limited Company,717.0,315.0,402.0,0.0,0.0
Chetwood Financial Limited,693.0,0.0,0.0,339.0,354.0
Usay Business Limited,688.0,0.0,0.0,0.0,688.0
Secure Trust Bank PLC,682.0,0.0,0.0,359.0,323.0
Forsakringsaktiebolaget Agria (publ),674.0,0.0,0.0,674.0,0.0
Standard Life Savings Limited,665.0,0.0,0.0,0.0,665.0
Digital Moneybox Limited,655.0,0.0,655.0,0.0,0.0
Antares Insurance Company Limited,650.0,650.0,0.0,0.0,0.0
London & Country Mortgages Limited,644.0,644.0,0.0,0.0,0.0
Columbia Threadneedle Management Limited,637.0,0.0,0.0,0.0,637.0
Aig Life Limited,633.0,0.0,0.0,0.0,633.0
Octopus Money Unit Trust Managers Limited,622.0,622.0,0.0,0.0,0.0
Post Office Management Services Limited,617.0,0.0,0.0,617.0,0.0
Inshur UK LTD,614.0,0.0,614.0,0.0,0.0
Eversure Limited,612.0,612.0,0.0,0.0,0.0
Investment Funds Direct Limited,606.0,0.0,0.0,0.0,606.0
Reassured Limited,604.0,604.0,0.0,0.0,0.0
Lexham Insurance Consultants Limited,583.0,583.0,0.0,0.0,0.0
Unum LTD,581.0,0.0,0.0,0.0,581.0
Ergo UK Specialty Limited,574.0,0.0,574.0,0.0,0.0
AIB Group (uk) PLC,568.0,0.0,0.0,0.0,568.0
Ubs Ag,548.0,548.0,0.0,0.0,0.0
Scottish Widows Administration Services Limited,538.0,0.0,0.0,0.0,538.0
Integra Insurance Solutions Limited,535.0,0.0,0.0,0.0,535.0
Fish Administration Limited,530.0,0.0,0.0,0.0,530.0
Bspoke Underwriting LTD,526.0,0.0,0.0,0.0,526.0
Fil Life Insurance Limited,517.0,517.0,0.0,0.0,0.0
Autoprotect (mbi) LTD,515.0,0.0,515.0,0.0,0.0
Capital Home Loans Limited,515.0,0.0,0.0,515.0,0.0
HSBC Bank PLC,514.0,0.0,514.0,0.0,0.0
Ascent Performance Group Limited,514.0,514.0,0.0,0.0,0.0
St James's Place Investment Administration Limited,508.0,0.0,0.0,0.0,508.0
Prestige Underwriting Services LTD,507.0,0.0,0.0,0.0,507.0
